sentence,label
" 	As a front liner of my family, as a teacher, as a husband, and as a father of two young kids, I need to adjust myself to face the new environment.  I learnt to know about the facts. The brain is naturally prone to stress when faced with unfamiliar situations and uncertainty. The facts are enables the brain to plan, prepare and solve the problem. I must check reputable sources for factual and reliable information. I knew that the rumours and false news can be counteractive, planting doubts and creating more uncertainties. As the head of the family, I am a key person to handle the situations. Therefore I learn to receive any updates or news by checking it twice. I also planned to provide the correct information to my family members and to my students. ",0
" Explore your spiritual core. By exploring your spiritual core, you are simply asking yourself questions about the person you are and your meaning. Ask yourself: Who am I? What is my purpose? What do I value most? These questions will lead you down a road where you will think more in-depth about yourself and allow you to notice things about yourself that will help you achieve fulfilment.  ",1
" Face your fears and take action. Tackling your challenges usually includes facing one or more fears. You can try to avoid facing your fears, but at some point they will circle back into your life and you'll have to face them again. You can ignore fear, but you can't escape it. Learn to be courageous and deal with it once and for all. Being courageous doesn't mean you become fearless. Everybody experiences fear. It's just that courageous people are the ones who are brave enough to constantly face their fears. On YouTube there is a Will Smith interview in which he states: �If something frightens me, I have to do it. I will not let it control me!� Taking action is the most important step in this whole process. It is also the step where most people get stuck. But by creating the right mind-set this becomes a lot easier. Because the emotions that usually frighten you and maybe even paralyze you will no longer have any effect on you, or the effect will be greatly reduced.",1
" I am the mother of four children. The children are 7 years old, 6 years old, 5 years old and 3 years old. My eldest daughter, second daugther and third son need to attend online classes. Sometimes their class time slammed together, or their online classas crushed with my class time. There is only one computer and one smartphone at home. I can only let myself and my eldest daughter attend online classes supervising their children's home-based schooling, preparing meals for the family on top of dealing with demands for attention from children who are also increasingly restless because of the disruption to their routines. During the time when my eldest daughter and i were in class, my three other children will disturb us to attend online class. I felt stress because i cannot concentrate on my online class. ",0
" Lastly, although I encountered a lot of challenges during MCO, I managed to maintain healthy body from the aspect of spiritual, psychological and physical.",2
" Setiap orang memerlukan masa untuk berehat, kemunculan PKP boleh ditafsirkan sebagai peluang yang diberi untuk rehat. Dalam kehidupan seharian, semua orang sangat sibuk dan tidak mempunyai masa untuk memahami hati sendiri. Kami perlu herehat fisiologi. mental dan rohaniah.",1
" Use time wisely to be able to balance work and study ,i will need to make sure that the time you spend studying is time well spent. Be productive! Study in short periods with breaks to ensure you stay focused and avoid procrastination. Turn off social media and prepare some snacks. Getting rid of distractions and using incentives will help get university work done faster. And by doing this, you'll have more time to relax, or perhaps even pick up an extra shift at work if need to. Make the most of your university experience, and set aside time to kick back and have fun with your friends. ",1
"	A healthy physical, psychological and spiritual well-being allows us to go further, so we need to take care of ourselves from time to time.",1
"	An outstanding actor needs a good script. Similarly, an effective result requires a suitable solution. This shows that a suitable solution is very important.",1
"	As for dealing with my life, I use a more practical and systematic method. Due to insufficient time, I manage my time and try plan everything's work to avoid wasting time. Moreover, I try my best to finish everything according to my plan. This is because I do not like procrastination. In terms of money, I become more budget-conscious and will not simple waste money. I can also see that I truly concern for my family which is why I try hard to buy masks and hand sanitizers. Cognitive psychology taught me to look at things from different perspectives, so that my mindset also changed.",2
