sentence,label
" 	Kesihatan mental dan fizikal merupakan perkara yang paling utama perlu dijaga .   saya perlu mempunyai penjagaan diri yang baik (Self –care). Setiap hari saya akan memastikan pengambilan  makanan yang sihat dan seimbang, bersenam sekurang-kurangnya 30 mint sehari, dan tidur secukupnya. Dengan adanya badan yang cergas, barulah saya dapat meneyelasaikan semua tanggungjawab dan tugasan saya dengan baik. ",2
" 	Seterusnya, dengan kekal berada di rumah dapat menghindarkan diri kita daripada dijangkiti virus COVID-19.  Ini kerana virus COVID-19  merupakan sejenis penyakit berjangkit yang boleh disebarkan melalui kontak rapat, tangan, hidung dan mulut Dengan pengetahuan yang sedia ada, iaitu dengan membaca berita-berita tentang  kejayaan negera China berjaya memerangi pandemick COVID-19, saya yakin dengan menjalani langkah-langkah berjaga-jaga dan sentiasa berada di dalam rumah, kita akan selamat. Oleh itu, sekiranya memerlukan untuk keluar seperti membeli barang atau ke tempat kerja atas urusan yang tidak dapat dielakkan, pastikan menjaga jarak satu meter supaya tidak bersentuhan. Sekiranya berasa tidak sihat seperti batuk atau selsema, pakai topeng muka dan segeralah mendapatkan rawatan di klinik atau hospital. Sentiasa mengutamakan kebersihan diri seperti kerap mandi dan kerap mencuci tangan dengan betul menggunakan sabun atau menggunakan bahan pencuci tangan (hand sanitizer). Selain itu, disinfeksi kawasan rumah juga sangat digalakkan untuk membasmi virus. Pengetahuan ini dapat menenangkan kerisauan saya. ",1
" Semasa diketahui guru perlu menjalankan PdPC melalui talian, sememgnya menimbulkan stress. Akan tetapi dengan membaca maklumat-maklumat dan bahan pengajaran yang dikongsikan oleh guru-guru yang lain, saya juga belajar cara-cara mengendalikan PdPC atas talian. Dengan pemikiran yang positif ini, saya belajar dengan sabar dan rajin, usaha saya telah mendapat sambutan yang baik daripada murid-murid. Semangat untuk melancarkan pelbagai aktiviti dalam talian  semakin kuat. Walaupun menghadapi pelbagai masalah,  akan tetapi tanggungjawab dan amanah sebagai pendidik tidak diketepikan.",2
"Selepas sudah menyesuaikan diri dengan keadaan tersebut, saya berasa saya mestilah mengubah kepribadian saya supaya kehidupan seharian dan pembelajaran saya tidak dapat dipengaruhi oleh kerja. Saya cuba menambahbaikkan kemahiran pengurusan masa supaya kerja tidak akan menjejaskan pembelajaran dan kehidupan saya lagi. Saya menetapkan target bahawa saya hanya boleh menguruskan aktiviti kerja pada waktu kerja lalu menguruskan aktiviti pembelajaran pada waktu petang. Pada waktu malam, saya boleh melakukan sesuatu ikut suka hati. ",2
"	Amalan gaya hidup sihat perlu dijadikan budaya. Saya berharap dapat bekerja dengan produktif dan berupaya menyumbang tenaga kepada masyarakat.",2
"	Antara cabaran yang pertama ialah pembelajaran secara alam maya. Pembelajaran dan pengajaran secara di atas talian memberi impak yang sangat besar kepada saya. Hal ini kerana apabila pembelajaran digunakan secara talian ianya memerlukan data yang tinggui untuk menyokong internet dalam keadaan baik dan sistematik. Ketika Malaysia dilanda virus dan berlaku tempoh Perintah Kawalan Pergerakan yang mana segala pergerakan terhad sehingga tidak boleh keluar kawasan yang kita tinggal. Oleh sebab itu, segala kelengkapan dari segi internet memyebabkan sukar untuk belajar. Justeru itu, kesan terhadap pelajar memberi impak yang sangat kritikal dan berharap semoga IPT akan beroperasi seperti biase yang dijalankan sebelum ini.",0
"	Apa yang saya lakukan, antaranya saya pergi ke perpustakaan awam di Kluang, di sana saya mempunyai banyak pengalaman semasa saya menuntut di USM dahulu kala,  saya cuba mengimbas kembali pengalaman belajar dahulu kala supaya saya dapat menyediakan diri saya untuk meneruskan pengajian sarjana ini.  Di sana, saya dapat mengimbas kembali bagaimana saya belajar dan apa cara yang senang untuk saya mengingati apa yang telah saya baca, contohnya membuat nota, membuat peta minda dan sebagainya.",1
"	Apabila berhadapan dengan cabaran penggunaan Google Classroom (GC) untuk pengajaran dalam talian, saya telah mengaplikasikan kemahiran penyelesaian masalah. Keupayaan kita untuk menyelesaikan masalah ada kaitannya dengan fungsi otak kognitif. Saya telah menggunakan pendekatan pemprosesan maklumat iaitu Newell and Simon’s Approach untuk menyelesaikan masalah oleh Mereka melihat penyelesaian masalah sebagai pencarian masalah (keadaan awal) dan penyelesaian masalah (gol) telah saya. Pencarian ini dikendalikan dan biasanya dicapai dengan penetapan subgoal. Saya telah menentu masalah iaitu tidak tahu cara penggunaan GC. Dengan menetapkan gold an subgoal, saya telah membuat keputusan untuk belajar cara penggunaan GC melalui video tutorial dan cuba berkali-kali. Pembelajaran adalah contoh kognisi. Cara otak kita membuat hubungan ketika kita mempelajari konsep dengan cara yang berbeza untuk mengingat apa yang telah kita pelajari. Pengalaman penggunaan menghasilkan perkaitan neurologikal yang menyebabkan saya semakin mahir menggunakan GC. Informasi GC yang dipelajari telah disusun ke dalam skema pada memori jangka panjang. Penggunaan proses kognitif saya telah ditambahbaikkan apabila saya dapat menggunakan strategi untuk mempromosikan pengekodan yang bermakna. Pada akhirnya, saya dapat menyelesaikan masalah ini dan semakin mahir menggunakan GC untuk pengajaran dalam talian.",2
"	Berdasarkan soalan 2, saya telah mengambil beberapa langkah untuk menyelesaikan masalah yang dihadapi semasa PKP. Saya telah berfikir secara luas dan mendalam untuk mengambil keputusan dalam mengatasi kehidupan saya ambil menyulap kerja saya dan pelajaran saya. ",2
"	Berdasarkan soalan 3, saya akan mengatakaYa�. Jika tidak ada pengetahuan psikologi kognitif, semestinya saya tidak dapat menyelesaikan kekangan dan cabaran yang dihadapi pada masa PKP ini. Pengetahuan psikologi kognitif amat membantu saya untuk berfikir logik dan berfikir secara luas untuk mengambil keputusan yang sewajarnya. Aktiviti otak kita akan meningkat semasa tempoh kekangan dan akan menurun ketika tempoh kekangan tidak dekat . Seperti yang dikatakan dalam buku “Cognitive psychology”, seseorang individu akan mula berfikir luas semasa berada pada tahap kekangan. Begitu juga dengan diri saya sendiri, semasa saya berhadapan dengan cabaran PKP saya mula berfikir luas dengan mengambil kira beberapa perkara seperti emosi saya, fizikal saya dan kognitif saya.  ",2
"	Berdasarkan soalan 5, setelah saya menghadapi cabaran ini saya melihat diri saya sebagai seorang yang tidak putus asa dan seorang yang bertanggungjawab. Saya berasa bangga setelah mendapat komen-komen yang positif daripada semua pihak. ",2
"	Dalam abad ke-21 ini, teknologi telah mengalami perkembangan pesat dari masa ke masa. Jadi, saya hendaklah memandangkan cabaran tersebut dan menyelesaikan masalah dengan kepribadian yang positif. Ilmu pengetahuan psikologi kognitif yang berada dalam minda saya dapat mengurus dan mengatasi cabaran-cabaran yang sedang saya hadapi.",2
"	Dalam sepajang tempoh Perintah Kawalan Pergerakan (PKP), kehidupan seharian saya memang dikacau dan mengalami perubahan. Walaupun tidak perlu hadir ke sekolah untuk bekerja pada setiap hari, saya kekal bekerja di rumah. Jadilah saya hendaklah bekerja dengan norma baharu. Selain bekerja pada hari bekerja, saya perlulah melanjutkan pengajian pada hujung minggu. Situasi ini merupakan cabaran bagi saya untuk mengurus kehidupan seharian saya manakala bekerja sambil belajar pada masa yang sama.",1
